Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A729125,Auburn,06/19/2016 4:36:00 PM,Jun 2016,07/13/2015,Adoption,,Dog,Spayed Female,11 months,Golden Retriever/Bearded Collie,Red/White
A726827,Sweet Pea,05/29/2017 5:07:00 PM,May 2017,04/15/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A662741,*Todd,10/05/2013 12:42:00 PM,Oct 2013,08/11/2013,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A796941,*Carrot,08/03/2019 2:40:00 PM,Aug 2019,04/27/2019,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby
A718387,*Jack Frost,01/16/2016 4:12:00 PM,Jan 2016,12/29/2006,Adoption,,Dog,Neutered Male,9 years,American Eskimo Mix,Cream
A837504,,06/27/2021 2:11:00 PM,Jun 2021,05/14/2021,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/Tricolor
A737776,,11/08/2016 6:16:00 PM,Nov 2016,01/04/2016,Adoption,,Dog,Spayed Female,10 months,Yorkshire Terrier Mix,Black/Brown
A767108,Dotty,05/06/2018 7:36:00 PM,May 2018,02/23/2015,Adoption,,Dog,Spayed Female,3 years,Boston Terrier Mix,White/Blue
A792484,Taros,05/31/2020 1:00:00 PM,May 2020,04/11/2018,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Cream
A731104,*Zakarin,09/20/2016 11:28:00 AM,Sep 2016,04/20/2016,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A842306,*Lemondrop,09/24/2021 6:37:00 PM,Sep 2021,09/13/2020,Adoption,,Dog,Spayed Female,1 year,Vizsla Mix,Red/White
A784970,Ziggy,03/16/2019 11:31:00 AM,Mar 2019,05/24/2018,Return to Owner,,Dog,Neutered Male,9 months,Pit Bull Mix,White/Black
A771103,,06/23/2018 5:45:00 PM,Jun 2018,03/16/2018,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue
A777152,,07/24/2018 12:00:00 AM,Jul 2018,07/20/2018,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Brown Tabby
A873968,Homegirl,02/04/2023 11:11:00 AM,Feb 2023,08/04/2021,Return to Owner,,Dog,Intact Female,1 year,Bluetick Hound Mix,Blue Tick
A687949,Apollo,10/10/2014 5:53:00 PM,Oct 2014,09/12/2012,Adoption,,Dog,Neutered Male,2 years,Australian Kelpie Mix,Black/Tan
A833864,,05/12/2021 4:48:00 PM,May 2021,05/04/2021,Euthanasia,Suffering,Cat,Intact Male,1 weeks,Domestic Shorthair,Orange Tabby/White
A706245,,06/26/2015 5:12:00 PM,Jun 2015,06/11/2015,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A713109,,10/04/2015 9:22:00 AM,Oct 2015,10/02/2013,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown
A718705,*Thor,01/12/2016 7:00:00 PM,Jan 2016,01/05/2014,Adoption,,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/White
A685791,Chispa,08/13/2014 6:41:00 PM,Aug 2014,02/12/2013,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,White/Tan
A803510,Rocky,09/03/2019 11:56:00 AM,Sep 2019,03/02/2018,Transfer,Partner,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Black/Tan
A732051,*Cinnamon,08/08/2016 3:12:00 PM,Aug 2016,06/24/2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A743602,*Dodger,02/14/2017 2:46:00 PM,Feb 2017,05/01/2016,Transfer,Partner,Other,Intact Male,9 months,Guinea Pig Mix,Tricolor
A744629,Hazel,03/15/2017 11:49:00 AM,Mar 2017,03/04/2012,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue/White
A776224,Taylor,07/12/2018 7:02:00 PM,Jul 2018,09/26/2011,Transfer,Partner,Dog,Spayed Female,6 years,Shiba Inu Mix,Tan
A788493,,02/07/2019 1:12:00 PM,Feb 2019,04/03/2018,Transfer,Partner,Dog,Neutered Male,10 months,Standard Poodle/Labrador Retriever,Cream
A754938,Ivory,07/29/2017 3:24:00 PM,Jul 2017,06/06/2016,Return to Owner,,Dog,Intact Female,1 year,Australian Cattle Dog/German Shepherd,Black/Brown
A839879,*Winnie,09/09/2021 11:55:00 AM,Sep 2021,08/05/2020,Transfer,Out State,Dog,Spayed Female,1 year,Labrador Retriever/Beagle,Black/White
A719479,Snake Finder,08/13/2017 1:55:00 PM,Aug 2017,01/21/2015,Return to Owner,,Dog,Neutered Male,2 years,Miniature Pinscher,Black/Tan
A720562,*Joni,02/21/2016 12:39:00 PM,Feb 2016,02/11/2012,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie
A718919,,01/09/2016 2:55:00 PM,Jan 2016,01/09/2015,Transfer,Partner,Other,Unknown,1 year,Rabbit Sh Mix,Black/White
A766116,Max,02/13/2018 11:14:00 AM,Feb 2018,02/02/2015,Return to Owner,,Dog,Neutered Male,3 years,Rottweiler/Staffordshire,Blue/Tan
A856357,*Manon,06/09/2022 9:08:00 AM,Jun 2022,03/27/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A667908,,11/25/2013 11:56:00 AM,Nov 2013,02/24/2013,Transfer,Partner,Dog,Intact Female,9 months,Pit Bull Mix,White
A721171,Louie,02/25/2016 3:51:00 PM,Feb 2016,12/07/2015,Adoption,,Dog,Neutered Male,2 months,Dachshund Mix,Red/White
A819694,Zoey,07/12/2020 1:42:00 PM,Jul 2020,03/12/2020,Transfer,Partner,Dog,Intact Female,4 months,Yorkshire Terrier Mix,Black/White
A605223,*Coconut,07/05/2014 6:49:00 PM,Jul 2014,09/05/2010,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A761895,,11/18/2017 2:25:00 PM,Nov 2017,09/03/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby
A845878,*Bruce,01/19/2022 3:25:00 PM,Jan 2022,10/05/2021,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Blue
A729037,Blanco,07/01/2016 6:44:00 PM,Jul 2016,04/12/2016,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A832174,Monster,04/16/2021 4:11:00 PM,Apr 2021,04/09/2013,Adoption,,Dog,Spayed Female,8 years,Pit Bull,Blue
A797068,Chumley,06/15/2019 5:25:00 PM,Jun 2019,06/08/2017,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A731908,*Shorty,09/04/2016 5:33:00 PM,Sep 2016,07/29/2015,Adoption,,Dog,Neutered Male,1 year,Staffordshire/Basset Hound,Brown Brindle/White
A705501,Chato,06/27/2015 1:19:00 PM,Jun 2015,03/12/2015,Return to Owner,,Dog,Intact Male,3 months,Boxer,Black Brindle/White
A684628,*Cody,08/01/2014 6:05:00 PM,Aug 2014,07/26/2013,Adoption,,Dog,Neutered Male,1 year,Akita Mix,Sable
A788671,Lulu,07/06/2019 6:12:00 PM,Jul 2019,10/06/2017,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Red
A740771,*Edmund,12/24/2016 3:52:00 PM,Dec 2016,12/22/2015,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow
A773488,*O'Malley,07/25/2018 6:31:00 AM,Jul 2018,04/29/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A692406,*Remington,12/01/2014 4:02:00 PM,Dec 2014,11/19/2013,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle
A863893,Logan,09/26/2022 12:49:00 PM,Sep 2022,06/17/2022,Adoption,,Dog,Neutered Male,3 months,Pointer Mix,White/Black
A697608,Effie,02/27/2015 6:10:00 PM,Feb 2015,11/26/2014,Adoption,,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/White
A753292,Chaco,07/05/2017 3:19:00 PM,Jul 2017,07/04/2001,Adoption,,Cat,Neutered Male,16 years,Persian,White/Brown Tabby
A732325,Tobi,08/19/2016 6:01:00 PM,Aug 2016,02/06/2015,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Chocolate/Black
A836935,Aries,06/19/2021 4:08:00 PM,Jun 2021,06/15/2020,Return to Owner,,Dog,Intact Male,1 year,Siberian Husky Mix,Black/Tan
A720727,Rooster 11,03/08/2016 1:47:00 PM,Mar 2016,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Red
A753146,*Susan,08/05/2017 5:40:00 PM,Aug 2017,06/02/2017,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A716395,*Jenny,11/28/2015 5:27:00 PM,Nov 2015,11/19/2013,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Fawn/White
A664661,Lily,10/13/2013 5:04:00 PM,Oct 2013,08/07/2013,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A705337,Haylie,08/15/2017 12:43:00 PM,Aug 2017,06/16/2013,Adoption,Foster,Dog,Spayed Female,4 years,Pit Bull Mix,Tan/White
A791446,Leopold,03/31/2019 1:58:00 PM,Mar 2019,03/28/2016,Return to Owner,,Dog,Neutered Male,3 years,English Bulldog,White/Brown
A738706,,11/20/2016 9:00:00 AM,Nov 2016,11/19/2014,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Orange Tabby
A728903,Izzy,05/21/2017 3:18:00 PM,May 2017,06/10/2015,Adoption,,Dog,Spayed Female,1 year,American Bulldog Mix,Black/White
A832041,Tiny,04/17/2021 12:33:00 PM,Apr 2021,04/06/2019,Adoption,Offsite,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
A790939,,03/19/2019 1:34:00 PM,Mar 2019,03/18/2019,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black
A790255,Pantera,03/12/2019 5:37:00 PM,Mar 2019,03/07/2017,Rto-Adopt,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Black
A798379,,07/13/2019 12:36:00 PM,Jul 2019,06/25/2018,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair/Rat Terrier,Tricolor
A690186,Keylow,10/08/2015 5:06:00 PM,Oct 2015,02/15/2014,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White
A754460,,07/25/2017 12:06:00 PM,Jul 2017,04/21/2017,Transfer,Snr,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
A760255,Deuce,10/23/2017 3:38:00 PM,Oct 2017,10/15/2016,Adoption,,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Brown/Black
A695222,Bochy,01/15/2015 6:19:00 PM,Jan 2015,01/11/2013,Adoption,,Dog,Neutered Male,2 years,Flat Coat Retriever Mix,Black/White
A842803,Charlie,09/23/2021 6:10:00 PM,Sep 2021,07/21/2021,Adoption,,Dog,Neutered Male,2 months,Pit Bull,Tan
A752298,Maddie,08/15/2017 2:13:00 PM,Aug 2017,06/20/2009,Adoption,,Cat,Spayed Female,8 years,Domestic Medium Hair Mix,Torbie
A664356,Azul,10/03/2013 4:37:00 PM,Oct 2013,03/03/2013,Transfer,Partner,Dog,Intact Male,7 months,Pit Bull Mix,Blue/White
A817406,Janice,05/27/2020 12:06:00 PM,May 2020,05/15/2016,Return to Owner,,Dog,Spayed Female,4 years,Labrador Retriever/Pit Bull,Tan/White
A736221,,10/07/2016 9:42:00 AM,Oct 2016,10/07/2014,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A702402,*Tic,07/08/2015 8:55:00 AM,Jul 2015,04/06/2015,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A789594,Morena,02/26/2019 7:33:00 PM,Feb 2019,02/24/2015,Adoption,,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Brown/Black
A711356,J.D.,09/11/2015 1:50:00 PM,Sep 2015,09/05/2009,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Chocolate
A729769,*Gracie,07/03/2016 1:52:00 PM,Jul 2016,06/23/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico
A855780,*Sugar Ray,05/10/2022 6:41:00 PM,May 2022,04/22/2019,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,White/Brown Tabby
A671609,Wilson,07/02/2015 11:04:00 AM,Jul 2015,01/28/2013,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever,Tan/White
A671789,Sam,02/03/2014 4:48:00 PM,Feb 2014,01/30/2012,Adoption,,Dog,Intact Male,2 years,Miniature Poodle/Miniature Schnauzer,Buff
A730774,*Noodles,07/16/2016 7:03:00 PM,Jul 2016,01/10/2016,Adoption,,Dog,Neutered Male,6 months,Jack Russell Terrier Mix,Black
A748210,,05/04/2017 12:47:00 PM,May 2017,04/30/2016,Rto-Adopt,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor
A825041,,10/27/2020 9:48:00 AM,Oct 2020,10/26/2019,Disposal,,Other,Unknown,1 year,Bat,Brown
A566568,Duck,02/23/2019 11:33:00 AM,Feb 2019,02/12/2009,Adoption,,Dog,Neutered Male,10 years,Harrier Mix,Brown/Black
A767611,Queen,03/17/2018 1:16:00 PM,Mar 2018,09/04/2016,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/Brown Brindle
A711270,,10/22/2015 9:00:00 AM,Oct 2015,09/04/2014,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White
A669647,Theodore,01/03/2014 2:36:00 PM,Jan 2014,12/24/2012,Return to Owner,,Dog,Intact Male,1 year,Australian Cattle Dog/Labrador Retriever,Tan/White
A827274,*Fizzle,12/30/2020 3:24:00 PM,Dec 2020,09/02/2020,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
A799811,Angel,10/22/2019 8:21:00 AM,Oct 2019,07/12/2012,Adoption,Foster,Dog,Spayed Female,7 years,Chihuahua Shorthair,Cream
A725432,Clark,09/06/2017 5:08:00 PM,Sep 2017,04/29/2011,Return to Owner,,Dog,Neutered Male,6 years,Staffordshire/Boxer,Black/White
A712266,,09/20/2015 7:57:00 AM,Sep 2015,08/20/2015,Died,In Kennel,Other,Unknown,4 weeks,Bat,Brown/Black
A687011,Gigi,09/04/2014 5:58:00 PM,Sep 2014,12/30/2013,Adoption,,Dog,Spayed Female,8 months,Boston Terrier Mix,Black/White
A826220,,11/22/2020 3:20:00 PM,Nov 2020,10/29/2020,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A742748,Elsie,06/23/2018 8:45:00 PM,Jun 2018,01/27/2007,Adoption,Foster,Cat,Spayed Female,11 years,Domestic Shorthair Mix,White/Black
A671765,Negra,07/06/2014 3:58:00 PM,Jul 2014,01/30/2013,Return to Owner,,Dog,Spayed Female,1 year,Dachshund Wirehair Mix,Black/White
A774643,Molly,06/22/2018 12:27:00 PM,Jun 2018,02/03/2018,Transfer,Partner,Dog,Intact Female,4 months,Miniature Schnauzer Mix,Brown
A718679,Sam,01/24/2016 6:03:00 PM,Jan 2016,01/04/2015,Adoption,,Dog,Neutered Male,1 year,American Foxhound Mix,White/Black
A746806,*Palmer,04/13/2017 5:12:00 PM,Apr 2017,04/09/2016,Adoption,,Dog,Neutered Male,1 year,Anatol Shepherd,Tan
A880165,,05/08/2023 8:36:00 AM,May 2023,05/05/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby
A793783,Spinner,07/13/2019 2:54:00 PM,Jul 2019,04/20/2019,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
A810108,,12/09/2019 5:29:00 PM,Dec 2019,09/23/2019,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Tricolor
A851782,Cilantro,03/12/2022 4:10:00 PM,Mar 2022,05/18/2021,Adoption,,Dog,Neutered Male,9 months,Great Pyrenees/Australian Cattle Dog,Black/White
A692379,Maunster,12/20/2014 5:23:00 PM,Dec 2014,10/19/2014,Adoption,Foster,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Tan
A799586,,07/14/2019 5:27:00 PM,Jul 2019,07/10/2017,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Cream Tabby/White
A779909,,09/11/2018 6:06:00 PM,Sep 2018,09/06/2016,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A706720,Nikko,07/24/2015 5:19:00 PM,Jul 2015,07/02/2011,Adoption,,Dog,Neutered Male,4 years,Miniature Schnauzer Mix,Tan/Gray
A823496,*Rigatoni,11/03/2020 9:15:00 AM,Nov 2020,08/17/2020,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White
A678591,Parker,05/14/2014 7:06:00 PM,May 2014,03/02/2014,Adoption,,Dog,Spayed Female,2 months,Cardigan Welsh Corgi Mix,Tricolor
A735888,Coco,10/01/2016 5:26:00 PM,Oct 2016,10/01/2014,Return to Owner,,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/Brown
A669875,Daisy,12/30/2013 2:06:00 PM,Dec 2013,12/29/2008,Return to Owner,,Dog,Spayed Female,5 years,Lhasa Apso Mix,Black
A864870,*Monaka,10/05/2022 3:17:00 PM,Oct 2022,05/01/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,White/Black
A820871,,07/31/2020 11:36:00 AM,Jul 2020,05/31/2020,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A803732,*Ginny,09/14/2019 12:03:00 PM,Sep 2019,05/11/2019,Adoption,,Dog,Spayed Female,4 months,Boxer,Brown/White
A698165,,03/07/2015 9:45:00 AM,Mar 2015,02/06/2015,Died,,Other,Unknown,4 weeks,Bat,Brown/Black
A635766,Shadow,01/07/2014 11:19:00 AM,Jan 2014,06/27/2012,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull/Boxer,Chocolate/White
A772493,Molly,05/21/2018 7:18:00 PM,May 2018,05/20/2016,Return to Owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Tan/Black
A736505,Tommy,11/20/2016 5:44:00 PM,Nov 2016,09/19/2016,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A819006,Little Girl,08/11/2020 5:05:00 PM,Aug 2020,03/19/2018,Adoption,,Cat,Spayed Female,2 years,Domestic Longhair,White
A754796,*Guppy,09/30/2017 9:51:00 AM,Sep 2017,06/30/2017,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A717893,Rasgo,12/18/2015 6:13:00 PM,Dec 2015,08/18/2015,Adoption,,Dog,Neutered Male,4 months,Havanese Mix,Apricot
A810461,Chance,12/23/2019 6:25:00 PM,Dec 2019,12/14/2017,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Black
A714226,Lars,10/26/2015 12:00:00 AM,Oct 2015,10/24/2008,Transfer,Partner,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Black/Brown
A794662,Sam,01/27/2022 12:41:00 PM,Jan 2022,05/10/2016,Adoption,Foster,Cat,Neutered Male,5 years,Domestic Shorthair,Brown Tabby/White
A787336,*Genevieve,03/25/2019 6:19:00 PM,Mar 2019,01/11/2017,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A688756,,09/27/2014 5:08:00 PM,Sep 2014,07/08/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby
A868329,Bon Bon,11/19/2022 5:08:00 PM,Nov 2022,09/01/2022,Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Black/White
A816306,*Jelly Bean,06/17/2020 1:23:00 PM,Jun 2020,04/12/2020,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A787658,*Fergus,03/11/2019 12:00:00 AM,Mar 2019,01/17/2017,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A674631,*Claude,04/19/2014 5:33:00 PM,Apr 2014,03/16/2011,Adoption,,Dog,Neutered Male,3 years,American Bulldog Mix,White/Tan
A800445,Mini,07/22/2019 6:47:00 PM,Jul 2019,06/05/2013,Return to Owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan/White
A875438,Leola,03/07/2023 6:54:00 PM,Mar 2023,07/27/2022,Adoption,,Dog,Spayed Female,7 months,German Shepherd,Brown/Black
A684828,,07/30/2014 9:00:00 AM,Jul 2014,03/14/2014,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Cream Tabby/White
A749133,*Cowboy,08/01/2020 8:12:00 AM,Aug 2020,04/05/2017,Adoption,Foster,Cat,Spayed Female,3 years,Domestic Shorthair Mix,White/Black
A686043,,08/16/2014 8:41:00 AM,Aug 2014,08/15/2013,Disposal,,Other,Unknown,1 year,Bat Mix,Brown
A692765,,12/02/2014 5:31:00 PM,Dec 2014,09/25/2014,Euthanasia,Suffering,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A774672,,07/15/2018 4:43:00 PM,Jul 2018,04/25/2018,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A695408,,01/18/2015 8:42:00 AM,Jan 2015,11/08/2014,Adoption,Offsite,Dog,Spayed Female,2 months,Rottweiler/German Shepherd,Sable
A667667,,11/26/2013 1:43:00 PM,Nov 2013,08/06/2013,Transfer,Partner,Dog,Intact Male,3 months,Dachshund Mix,Tan
A681907,Tortilla,06/28/2014 6:52:00 PM,Jun 2014,04/21/2014,Adoption,,Cat,Intact Female,2 months,Siamese Mix,Tortie Point
A678341,Bear,05/26/2014 3:53:00 PM,May 2014,05/07/2012,Return to Owner,,Dog,Neutered Male,2 years,Golden Retriever/Chow Chow,Tan
A795431,*Maggie,05/29/2019 2:25:00 PM,May 2019,05/20/2011,Transfer,Partner,Dog,Intact Female,8 years,Wire Hair Fox Terrier Mix,Tricolor
A795465,,06/01/2019 10:03:00 PM,Jun 2019,03/20/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A696806,*Davis,02/17/2015 7:02:00 PM,Feb 2015,06/12/2014,Adoption,,Dog,Neutered Male,8 months,Dachshund Mix,Brown/White
A848813,*Lucas,02/01/2022 4:19:00 PM,Feb 2022,12/28/2019,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black
A808052,*Oreo,12/03/2019 4:46:00 PM,Dec 2019,08/19/2019,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Black/White
A839074,,07/23/2021 9:29:00 AM,Jul 2021,03/19/2021,Died,In Kennel,Cat,Intact Male,4 months,Domestic Shorthair,Black/White
A795140,Roo,05/23/2019 5:39:00 PM,May 2019,05/16/2017,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Blue Tick
A836159,*Morgan,06/30/2021 2:41:00 PM,Jun 2021,12/07/2019,Adoption,Foster,Dog,Spayed Female,1 year,Australian Cattle Dog,Blue Tick
A823494,*Macaroni,11/03/2020 9:13:00 AM,Nov 2020,08/17/2020,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A750772,,05/31/2017 6:19:00 PM,May 2017,04/16/2017,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
A765588,*Clarke,01/24/2018 10:12:00 AM,Jan 2018,12/15/2017,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Brown
A760496,*Marco Polo,12/30/2017 3:44:00 PM,Dec 2017,08/19/2017,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
A787340,,01/11/2019 2:53:00 PM,Jan 2019,01/11/2018,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A868958,*Draper,01/07/2023 10:08:00 AM,Jan 2023,06/10/2022,Adoption,Foster,Dog,Neutered Male,6 months,Australian Cattle Dog Mix,Brown/White
A736523,*Clementina,11/03/2016 12:35:00 PM,Nov 2016,10/12/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A706159,Junebug,07/31/2015 2:01:00 PM,Jul 2015,06/25/2014,Adoption,Foster,Dog,Intact Female,1 year,Border Collie/Whippet,Black/White
A810115,,12/09/2019 6:02:00 PM,Dec 2019,09/24/2019,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever,Tricolor
A811845,L.S,01/22/2020 1:53:00 PM,Jan 2020,01/10/2005,Rto-Adopt,,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Black
A830628,Buck,03/14/2021 4:15:00 PM,Mar 2021,03/12/2018,Return to Owner,,Dog,Intact Male,3 years,German Shepherd,Tan/Black
A737112,,10/23/2016 9:00:00 AM,Oct 2016,10/22/2015,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A757498,*Sergeant,09/11/2017 2:16:00 PM,Sep 2017,09/03/2011,Adoption,,Dog,Neutered Male,6 years,German Shepherd Mix,Black/Brown
A849152,Bruno,03/11/2022 1:57:00 PM,Mar 2022,01/03/2020,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A834933,*Salsa,05/30/2021 1:01:00 PM,May 2021,03/20/2021,Euthanasia,Suffering,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A749348,*Toby,07/12/2017 9:48:00 AM,Jul 2017,05/04/2017,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A796292,Duchess,06/10/2019 6:59:00 PM,Jun 2019,05/31/2014,Return to Owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair,Brown
A725980,,06/25/2016 5:31:00 PM,Jun 2016,05/01/2016,Adoption,Foster,Dog,Spayed Female,1 month,Chihuahua Shorthair Mix,Brown
A690543,*Scarlet,01/05/2017 7:25:00 PM,Jan 2017,10/22/2013,Return to Owner,,Dog,Spayed Female,3 years,Pit Bull Mix,Chocolate/White
A799980,Chikis,07/23/2019 5:24:00 PM,Jul 2019,05/15/2013,Transfer,Partner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/White
A704278,Candy,06/07/2015 6:37:00 PM,Jun 2015,06/03/2013,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White
A665095,Paddy,10/18/2013 1:23:00 PM,Oct 2013,10/17/2009,Transfer,Partner,Dog,Neutered Male,4 years,Dachshund Mix,Red/Buff
A612006,Dusty,09/12/2014 3:56:00 PM,Sep 2014,10/15/2002,Return to Owner,,Dog,Intact Male,11 years,Chow Chow Mix,Tan
A774090,Stanley,06/21/2018 3:18:00 PM,Jun 2018,06/10/2013,Adoption,,Dog,Neutered Male,5 years,Doberman Pinsch Mix,Black/Tan
A790785,Bingo,05/26/2020 1:50:00 PM,May 2020,03/16/2018,Adoption,Foster,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown
A678083,*Aspen,07/12/2014 3:57:00 PM,Jul 2014,04/03/2014,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
